t_s,v_ms,f_ZZ_Hz,f_REF_Hz,H_eff_s,P_gov_MW,omega0_rads,Pelec0_MW,Pzz0_kW,lam0,omega1_rads,Pelec1_MW,Pzz1_kW,lam1,omega2_rads,Pelec2_MW,Pzz2_kW,lam2,omega3_rads,Pelec3_MW,Pzz3_kW,lam3,omega4_rads,Pelec4_MW,Pzz4_kW,lam4
0.0,12.048,50.0,50.0,4.009766,0.0,1.2472,6.492,0.0,6.225,1.2472,6.492,0.0,6.225,1.2472,6.492,0.0,6.225,1.2472,6.492,0.0,6.225,1.2472,6.492,0.0,6.225
0.02,12.053,50.0,50.0,4.009722,0.0,1.2446,6.4249,11.309,6.209,1.2446,6.4249,-11.309,6.209,1.2446,6.4249,-11.309,6.209,1.2446,6.4249,11.309,6.209,1.2446,6.4249,0.0,6.209
0.04,12.057,50.0,50.0,4.009681,0.0,1.2423,6.3638,22.61,6.193,1.2421,6.3621,-22.61,6.193,1.2421,6.3621,-22.61,6.193,1.2423,6.3638,22.61,6.193,1.2422,6.363,0.0,6.193
0.06,12.062,50.0,50.0,4.009644,0.0,1.2402,6.3083,33.897,6.18,1.2398,6.3033,-33.897,6.178,1.2398,6.3033,-33.897,6.178,1.2402,6.3083,33.897,6.18,1.24,6.3058,0.0,6.179
0.08,12.067,50.0,50.0,4.009609,0.0,1.2382,6.258,45.163,6.167,1.2376,6.2482,-45.163,6.165,1.2376,6.2482,-45.163,6.165,1.2382,6.258,45.163,6.167,1.2379,6.2531,0.0,6.166
0.1,12.071,50.0,50.0,4.009577,0.0,1.2365,6.2125,56.4,6.155,1.2355,6.1964,-56.4,6.151,1.2355,6.1964,-56.4,6.151,1.2365,6.2125,56.4,6.155,1.236,6.2045,0.0,6.153
0.12,12.076,50.0,50.0,4.009548,0.0,1.2349,6.1714,67.602,6.144,1.2336,6.1479,-67.602,6.139,1.2336,6.1479,-67.602,6.139,1.2349,6.1714,67.602,6.144,1.2342,6.1596,0.0,6.141
0.14,12.08,50.0,50.0,4.009521,0.0,1.2335,6.1343,78.76,6.134,1.2317,6.1022,-78.76,6.127,1.2317,6.1022,-78.76,6.127,1.2335,6.1343,78.76,6.134,1.2326,6.1183,0.0,6.13
0.16,12.084,50.0,50.0,4.009496,0.0,1.2322,6.1011,89.869,6.124,1.23,6.0593,-89.869,6.116,1.23,6.0593,-89.869,6.116,1.2322,6.1011,89.869,6.124,1.2311,6.0802,0.0,6.12
0.18,12.089,50.0,50.0,4.009473,0.0,1.2311,6.0715,100.922,6.116,1.2284,6.0188,-100.922,6.105,1.2284,6.0188,-100.922,6.105,1.2311,6.0715,100.922,6.116,1.2297,6.0451,0.0,6.11
0.2,12.093,50.0,50.0,4.009452,0.0,1.2301,6.0451,111.91,6.108,1.2268,5.9808,-111.91,6.094,1.2268,5.9808,-111.91,6.094,1.2301,6.045,111.91,6.108,1.2285,6.0129,0.0,6.101
