n,L(n),K,m_sum(n),L_minus_m
1000,38,11,22.7481113104,15.2518886896
1194,41,12,24.8508904360,16.1491095640
1425,44,13,27.1430710328,16.8569289672
1701,48,15,29.6503397923,18.3496602077
2031,52,16,32.3944308313,19.6055691687
2424,56,18,35.3858610383,20.6141389617
2894,60,19,38.6606478272,21.3393521728
3455,65,21,42.2383917646,22.7616082354
4125,71,24,46.1492581183,24.8507418817
4924,77,26,50.4180634709,26.5819365291
5000,77,26,50.8054299443,26.1945700557
5878,83,28,55.0833657753,27.9166342247
7017,90,31,60.1815592301,29.8184407699
8377,98,34,65.7531993069,32.2468006931
10000,107,37,71.8389562654,35.1610437346
11938,116,40,78.4901625862,37.5098374138
14251,126,44,85.7557514266,40.2442485734
17013,137,48,93.6965538703,43.3034461297
20000,148,52,101.5880085849,46.4119914151
20309,149,53,102.3696511806,46.6303488194
24245,162,58,111.8491894516,50.1508105484
28943,177,63,122.2050515050,54.7949484950
34551,192,69,133.5192991300,58.4807008700
41246,210,76,145.8819606955,64.1180393045
49239,228,82,159.3906058575,68.6093941425
50000,230,83,160.6175178524,69.3824821476
58780,249,90,174.1489068993,74.8510931007
70170,271,99,190.2741985568,80.7258014432
83768,296,108,207.8938918202,88.1061081798
100000,323,118,227.1440650684,95.8559349316
119378,352,129,248.1775459089,103.8224540911
142510,384,141,271.1578118922,112.8421881078
170125,419,154,296.2666575073,122.7333424927
203092,457,168,323.7013385959,133.2986614041
242446,499,184,353.6755830099,145.3244169901
289427,544,200,386.4262779236,157.5737220764
345511,594,200,422.2092114736,171.7907885264
412463,649,200,461.3058446115,187.6941553885
492388,708,200,504.0225098361,203.9774901639
587802,773,200,550.6954871092,222.3045128908
701704,844,200,601.6899866229,242.3100133771
837678,922,200,657.4068303773,264.5931696227
1000000,1007,200,718.2829058810,288.7170941190
