n,sqrt(n+3),L(n),K,S_K,m_sum,m_aprox,L_minus_m_sum,L_minus_m_aprox,ge_2_sum,I(n)
1000,31.670175,38,11,0.7182818262,22.748111,22.714066,15.251889,15.285934,Sí,"[966, 1003]"
2000,44.754888,51,16,0.7182818285,32.146623,32.122540,18.853377,18.877460,Sí,"[1953, 2003]"
5000,70.731888,77,26,0.7182818285,50.805430,50.790195,26.194570,26.209805,Sí,"[4927, 5003]"
10000,100.014999,107,37,0.7182818285,71.838956,71.828183,35.161044,35.171817,Sí,"[9897, 10003]"
20000,141.431962,148,52,0.7182818285,101.588009,101.580390,46.411991,46.419610,Sí,"[19856, 20003]"
50000,223.613506,230,83,0.7182818285,160.617518,160.612700,69.382482,69.387300,Sí,"[49774, 50003]"
100000,316.232509,323,118,0.7182818285,227.144065,227.140658,95.855935,95.859342,Sí,"[99681, 100003]"
200000,447.216950,454,167,0.7182818285,321.227808,321.225399,132.772192,132.774601,Sí,"[199550, 200003]"
500000,707.108903,714,265,0.7182818285,507.903475,507.901952,206.096525,206.098048,Sí,"[499290, 500003]"
1000000,1000.001500,1007,375,0.7182818285,718.282906,718.281828,288.717094,288.718172,Sí,"[998997, 1000003]"
2000000,1414.214623,1421,530,0.7182818285,1015.804665,1015.803903,405.195335,405.196097,Sí,"[1998583, 2000003]"
5000000,2236.068648,2243,838,0.7182818285,1606.127477,1606.126995,636.872523,636.873005,Sí,"[4997761, 5000003]"
10000000,3162.278135,3169,1185,0.7182818285,2271.406921,2271.406580,897.593079,897.593420,Sí,"[9996835, 10000003]"
